"","year","effort","homework","grades"
"492","Sixth grade","Trying best to do well in school","About the right amount","A"
"493","Eleventh grade","Trying best to do well in school","About the right amount","A"
"494","Tenth grade","Could try a little harder","About the right amount","C"
"495","Eleventh grade","Trying best to do well in school","About the right amount","A"
"496","Eleventh grade","Trying best to do well in school","About the right amount","A"
"497","Sixth grade","Could try a little harder","About the right amount","A"
"498","Sixth grade","Trying best to do well in school","Too much homework","A"
"499","Sixth grade","Trying best to do well in school","About the right amount","A"
"500","Tenth grade","Trying best to do well in school","About the right amount","A"
"501","Ninth grade","Could try a little harder","Too much homework","B"
"502","Twelfth grade","Trying best to do well in school","About the right amount","A"
"503","Eighth grade","Trying best to do well in school","About the right amount","A"
"504","Seventh grade","Could try a little harder","About the right amount","B"
"505","Sixth grade","Trying best to do well in school","About the right amount","A"
"506","Eleventh grade","Trying best to do well in school","Too much homework","B"
"507","Sixth grade","Trying best to do well in school","About the right amount","B"
"508","Eighth grade","Could try a little harder","About the right amount","A"
"509","Twelfth grade","Trying best to do well in school","About the right amount","B"
"510","Eleventh grade","Could try a little harder","About the right amount","B"
"511","Eleventh grade","Could try a little harder","About the right amount","A"
"512","Seventh grade","Could try a little harder","Too little homework","A"
"513","Sixth grade","Trying best to do well in school","About the right amount","A"
"514","Eighth grade","Could try a little harder","About the right amount","A"
"515","Twelfth grade","Trying best to do well in school","About the right amount","A"
"516","Tenth grade","Trying best to do well in school","Too little homework","C"
"517","Twelfth grade","Trying best to do well in school","About the right amount","B"
"518","Eighth grade","Could try a little harder","About the right amount","B"
"519","Seventh grade","Trying best to do well in school","About the right amount","C"
"520","Sixth grade","Trying best to do well in school","About the right amount","B"
"521","Sixth grade","Trying best to do well in school","About the right amount","C"
"522","Seventh grade","Could try a little harder","About the right amount","B"
"523","Sixth grade","Could try a little harder","About the right amount","C"
"524","Eighth grade","Trying best to do well in school","About the right amount","B"
"525","Seventh grade","Could try a little harder","About the right amount","A"
"526","Eighth grade","Trying best to do well in school","Too much homework","A"
"527","Sixth grade","Trying best to do well in school","Too much homework","B"
"528","Seventh grade","Trying best to do well in school","Too much homework","B"
"529","Eleventh grade","Trying best to do well in school","About the right amount","B"
"530","Sixth grade","Trying best to do well in school","About the right amount","B"
"531","Tenth grade","Could try a little harder","About the right amount","B"
"532","Sixth grade","Could try a little harder","About the right amount","A"
"533","Eleventh grade","Could try a little harder","Too much homework","B"
"534","Ninth grade","Could try a little harder","About the right amount","A"
"535","Twelfth grade","Could try a little harder","About the right amount","A"
"536","Seventh grade","Could try a little harder","About the right amount","B"
"537","Tenth grade","Could try a little harder","Too much homework","C"
"538","Eleventh grade","Trying best to do well in school","About the right amount","A"
"539","Sixth grade","Could try a little harder","About the right amount","A"
"540","Seventh grade","Could try a little harder","Too much homework","C"
"541","Eighth grade","Could try a little harder","Too much homework","B"
"542","Twelfth grade","Trying best to do well in school","About the right amount","B"
"543","Tenth grade","Could try a little harder","About the right amount","B"
"544","Sixth grade","Could try a little harder","About the right amount","B"
"545","Eighth grade","Trying best to do well in school","About the right amount","A"
"546","Ninth grade","Trying best to do well in school","About the right amount","B"
"547","Twelfth grade","Could try a little harder","Too much homework","B"
"548","Seventh grade","Trying best to do well in school","Too little homework","B"
"549","Eleventh grade","Trying best to do well in school","Too little homework","C"
"550","Tenth grade","Trying best to do well in school","Too much homework","A"
"551","Sixth grade","Trying best to do well in school","Too much homework","B"
"552","Eighth grade","Trying best to do well in school","About the right amount","C"
"553","Seventh grade","Could try a little harder","About the right amount","B"
"554","Sixth grade","Trying best to do well in school","Too much homework","B"
"555","Ninth grade","Could try a little harder","Too much homework","A"
"556","Tenth grade","Trying best to do well in school","About the right amount","A"
"557","Ninth grade","Could try a little harder","About the right amount","A"
"558","Seventh grade","Trying best to do well in school","About the right amount","A"
"559","Seventh grade","Trying best to do well in school","About the right amount","A"
"560","Seventh grade","Could try a little harder","Too little homework","A"
"561","Ninth grade","Trying best to do well in school","About the right amount","A"
"562","Seventh grade","Trying best to do well in school","About the right amount","B"
"563","Eighth grade","Could try a little harder","Too much homework","A"
"564","Seventh grade","Trying best to do well in school","About the right amount","B"
"565","Eleventh grade","Trying best to do well in school","About the right amount","B"
"566","Sixth grade","Could try a little harder","About the right amount","B"
"567","Eighth grade","Could try a little harder","Too much homework","Less than a C"
"568","Twelfth grade","Trying best to do well in school","About the right amount","A"
"569","Tenth grade","Trying best to do well in school","About the right amount","B"
"570","Tenth grade","Trying best to do well in school","About the right amount","A"
"571","Seventh grade","Trying best to do well in school","About the right amount","A"
"572","Sixth grade","Trying best to do well in school","Too much homework","A"
"573","Sixth grade","Trying best to do well in school","About the right amount","A"
"574","Twelfth grade","Trying best to do well in school","About the right amount","C"
"575","Tenth grade","Could try a little harder","About the right amount","B"
"576","Eleventh grade","Could try a little harder","Too much homework","Less than a C"
"577","Sixth grade","Trying best to do well in school","About the right amount","A"
"578","Ninth grade","Trying best to do well in school","About the right amount","A"
"579","Eighth grade","Could try a little harder","Too much homework","C"
"580","Seventh grade","Trying best to do well in school","About the right amount","A"
"581","Sixth grade","Trying best to do well in school","Too much homework","Less than a C"
"582","Ninth grade","Trying best to do well in school","Too much homework","A"
"583","Seventh grade","Could try a little harder","Too much homework","A"
"584","Eighth grade","Trying best to do well in school","Too little homework","B"
"585","Ninth grade","Trying best to do well in school","About the right amount","A"
"586","Eighth grade","Trying best to do well in school","About the right amount","B"
"587","Twelfth grade","Could try a little harder","Too little homework","C"
"588","Eleventh grade","Trying best to do well in school","Too much homework","B"
"589","Tenth grade","Could try a little harder","Too much homework","C"
"590","Eighth grade","Could try a little harder","Too little homework","A"
"591","Eighth grade","Could try a little harder","About the right amount","C"
"592","Eleventh grade","Could try a little harder","Too much homework","C"
"593","Ninth grade","Trying best to do well in school","Too much homework","C"
"594","Eighth grade","Could try a little harder","Too much homework","Less than a C"
"595","Eleventh grade","Trying best to do well in school","About the right amount","B"
"596","Ninth grade","Could try a little harder","About the right amount","B"
"597","Sixth grade","Trying best to do well in school","Too much homework","A"
"598","Twelfth grade","Could try a little harder","About the right amount","A"
"599","Eleventh grade","Trying best to do well in school","About the right amount","B"
"600","Eleventh grade","Trying best to do well in school","About the right amount","A"
"601","Seventh grade","Could try a little harder","Too little homework","B"
"602","Tenth grade","Could try a little harder","About the right amount","A"
"603","Ninth grade","Trying best to do well in school","About the right amount","A"
"604","Seventh grade","Trying best to do well in school","About the right amount","A"
"605","Tenth grade","Trying best to do well in school","About the right amount","A"
"606","Ninth grade","Could try a little harder","About the right amount","B"
"607","Ninth grade","Could try a little harder","About the right amount","Less than a C"
"608","Eleventh grade","Could try a little harder","About the right amount","B"
"609","Ninth grade","Could try a little harder","About the right amount","A"
"610","Seventh grade","Trying best to do well in school","About the right amount","B"
"611","Twelfth grade","Trying best to do well in school","Too much homework","C"
"612","Seventh grade","Could try a little harder","About the right amount","C"
"613","Tenth grade","Could try a little harder","Too much homework","A"
"614","Eleventh grade","Trying best to do well in school","About the right amount","B"
"615","Sixth grade","Trying best to do well in school","About the right amount","B"
"616","Tenth grade","Trying best to do well in school","Too little homework","B"
"617","Eighth grade","Trying best to do well in school","About the right amount","A"
"618","Tenth grade","Trying best to do well in school","Too much homework","C"
"619","Sixth grade","Could try a little harder","Too much homework","B"
"620","Tenth grade","Trying best to do well in school","About the right amount","B"
"621","Tenth grade","Could try a little harder","About the right amount","C"
"622","Eighth grade","Trying best to do well in school","About the right amount","A"
"623","Seventh grade","Could try a little harder","About the right amount","B"
"624","Sixth grade","Could try a little harder","Too much homework","B"
"625","Seventh grade","Trying best to do well in school","Too much homework","B"
"626","Eleventh grade","Trying best to do well in school","Too little homework","C"
"627","Seventh grade","Could try a little harder","About the right amount","B"
"628","Sixth grade","Could try a little harder","About the right amount","B"
"629","Eighth grade","Could try a little harder","Too much homework","C"
"630","Ninth grade","Trying best to do well in school","Too much homework","A"
"631","Eighth grade","Trying best to do well in school","Too much homework","C"
"632","Seventh grade","Trying best to do well in school","Too much homework","A"
"633","Seventh grade","Trying best to do well in school","About the right amount","A"
"634","Sixth grade","Trying best to do well in school","About the right amount","B"
"635","Tenth grade","Could try a little harder","Too much homework","C"
"636","Tenth grade","Could try a little harder","Too much homework","B"
"637","Ninth grade","Could try a little harder","Too much homework","C"
"638","Ninth grade","Trying best to do well in school","Too little homework","C"
"639","Ninth grade","Trying best to do well in school","About the right amount","B"
"640","Tenth grade","Trying best to do well in school","About the right amount","A"
"641","Eighth grade","Could try a little harder","About the right amount","C"
"642","Seventh grade","Could try a little harder","About the right amount","B"
"643","Seventh grade","Could try a little harder","About the right amount","B"
"644","Eleventh grade","Trying best to do well in school","About the right amount","B"
"645","Tenth grade","Could try a little harder","Too much homework","C"
"646","Seventh grade","Trying best to do well in school","About the right amount","B"
"647","Tenth grade","Could try a little harder","About the right amount","B"
"648","Ninth grade","Trying best to do well in school","Too much homework","A"
"649","Ninth grade","Could try a little harder","About the right amount","A"
"650","Sixth grade","Could try a little harder","About the right amount","C"
"651","Tenth grade","Trying best to do well in school","Too little homework","B"
"652","Ninth grade","Could try a little harder","About the right amount","B"
"653","Eleventh grade","Trying best to do well in school","About the right amount","C"
"654","Sixth grade","Could try a little harder","About the right amount","C"
"655","Tenth grade","Could try a little harder","Too much homework","C"
"656","Seventh grade","Trying best to do well in school","Too much homework","B"
"657","Tenth grade","Could try a little harder","Too much homework","C"
"658","Twelfth grade","Trying best to do well in school","Too little homework","B"
"659","Seventh grade","Trying best to do well in school","Too much homework","C"
"660","Eighth grade","Trying best to do well in school","About the right amount","B"
"661","Seventh grade","Trying best to do well in school","About the right amount","A"
"662","Ninth grade","Trying best to do well in school","Too little homework","A"
"663","Ninth grade","Trying best to do well in school","Too much homework","B"
"664","Ninth grade","Could try a little harder","About the right amount","C"
"665","Seventh grade","Trying best to do well in school","About the right amount","A"
"666","Eighth grade","Could try a little harder","About the right amount","C"
"667","Seventh grade","Could try a little harder","About the right amount","B"
"668","Tenth grade","Trying best to do well in school","Too much homework","Less than a C"
"669","Seventh grade","Could try a little harder","About the right amount","B"
"670","Eleventh grade","Trying best to do well in school","About the right amount","B"
"671","Sixth grade","Trying best to do well in school","About the right amount","B"
"672","Seventh grade","Could try a little harder","About the right amount","A"
"673","Seventh grade","Could try a little harder","Too much homework","Less than a C"
"674","Sixth grade","Trying best to do well in school","Too much homework","B"
"675","Twelfth grade","Could try a little harder","About the right amount","B"
"676","Eleventh grade","Trying best to do well in school","Too much homework","B"
"677","Tenth grade","Trying best to do well in school","About the right amount","A"
"678","Twelfth grade","Trying best to do well in school","About the right amount","B"
"679","Tenth grade","Trying best to do well in school","About the right amount","A"
"680","Tenth grade","Trying best to do well in school","About the right amount","A"
"681","Eleventh grade","Could try a little harder","Too much homework","C"
"682","Ninth grade","Could try a little harder","About the right amount","A"
"683","Tenth grade","Trying best to do well in school","About the right amount","C"
"684","Eighth grade","Could try a little harder","Too much homework","B"
"685","Eighth grade","Could try a little harder","About the right amount","A"
"686","Eleventh grade","Trying best to do well in school","About the right amount","B"
"687","Seventh grade","Trying best to do well in school","Too much homework","B"
"688","Eighth grade","Trying best to do well in school","About the right amount","B"
"689","Sixth grade","Could try a little harder","About the right amount","B"
"690","Eighth grade","Trying best to do well in school","About the right amount","A"
"691","Eighth grade","Trying best to do well in school","About the right amount","A"
"692","Eleventh grade","Could try a little harder","About the right amount","B"
"693","Tenth grade","Could try a little harder","Too much homework","B"
"694","Ninth grade","Trying best to do well in school","About the right amount","B"
"695","Eighth grade","Trying best to do well in school","Too little homework","A"
"696","Eleventh grade","Could try a little harder","About the right amount","C"
"697","Ninth grade","Could try a little harder","Too much homework","C"
"698","Eleventh grade","Trying best to do well in school","About the right amount","A"
"699","Twelfth grade","Could try a little harder","About the right amount","B"
"700","Tenth grade","Could try a little harder","About the right amount","B"
"701","Eighth grade","Could try a little harder","Too much homework","C"
"702","Eleventh grade","Could try a little harder","Too much homework","B"
"703","Tenth grade","Trying best to do well in school","Too much homework","B"
"704","Eighth grade","Trying best to do well in school","Too much homework","A"
"705","Tenth grade","Could try a little harder","About the right amount","B"
"706","Eighth grade","Trying best to do well in school","About the right amount","A"
"707","Eighth grade","Trying best to do well in school","About the right amount","B"
"708","Seventh grade","Trying best to do well in school","Too much homework","A"
"709","Seventh grade","Trying best to do well in school","About the right amount","A"
"710","Sixth grade","Trying best to do well in school","Too much homework","C"
"711","Seventh grade","Could try a little harder","Too much homework","B"
"712","Sixth grade","Could try a little harder","About the right amount","B"
"713","Seventh grade","Trying best to do well in school","About the right amount","B"
"714","Eleventh grade","Could try a little harder","About the right amount","B"
"715","Tenth grade","Could try a little harder","About the right amount","B"
"716","Eleventh grade","Could try a little harder","About the right amount","C"
"717","Ninth grade","Trying best to do well in school","About the right amount","A"
"718","Eleventh grade","Could try a little harder","About the right amount","C"
"719","Seventh grade","Could try a little harder","About the right amount","C"
"720","Seventh grade","Trying best to do well in school","About the right amount","A"
"721","Ninth grade","Trying best to do well in school","About the right amount","B"
"722","Seventh grade","Could try a little harder","Too much homework","B"
"723","Tenth grade","Could try a little harder","Too much homework","Less than a C"
"724","Eleventh grade","Could try a little harder","Too much homework","B"
"725","Sixth grade","Trying best to do well in school","About the right amount","C"
"726","Twelfth grade","Could try a little harder","About the right amount","A"
"727","Tenth grade","Could try a little harder","Too little homework","C"
"728","Tenth grade","Could try a little harder","About the right amount","B"
"729","Eleventh grade","Trying best to do well in school","About the right amount","C"
"730","Twelfth grade","Could try a little harder","About the right amount","C"
"731","Eighth grade","Could try a little harder","Too much homework","B"
"732","Ninth grade","Could try a little harder","About the right amount","C"
"733","Seventh grade","Could try a little harder","About the right amount","A"
"734","Sixth grade","Could try a little harder","About the right amount","B"
"735","Eleventh grade","Trying best to do well in school","About the right amount","A"
"736","Tenth grade","Could try a little harder","About the right amount","Less than a C"
"737","Ninth grade","Trying best to do well in school","About the right amount","C"
"738","Ninth grade","Trying best to do well in school","Too much homework","A"
"739","Twelfth grade","Trying best to do well in school","About the right amount","A"
"740","Eleventh grade","Could try a little harder","About the right amount","B"
"741","Ninth grade","Could try a little harder","About the right amount","B"
"742","Eleventh grade","Could try a little harder","About the right amount","C"
"743","Eleventh grade","Could try a little harder","About the right amount","Less than a C"
"744","Tenth grade","Trying best to do well in school","About the right amount","A"
"745","Eighth grade","Could try a little harder","Too little homework","B"
"746","Ninth grade","Trying best to do well in school","Too much homework","A"
"747","Ninth grade","Trying best to do well in school","About the right amount","A"
"748","Eighth grade","Could try a little harder","About the right amount","B"
"749","Tenth grade","Could try a little harder","About the right amount","B"
"750","Tenth grade","Trying best to do well in school","About the right amount","B"
"751","Seventh grade","Trying best to do well in school","About the right amount","C"
"752","Twelfth grade","Could try a little harder","About the right amount","B"
"753","Ninth grade","Could try a little harder","About the right amount","B"
"754","Eighth grade","Could try a little harder","About the right amount","B"
"755","Ninth grade","Could try a little harder","About the right amount","A"
"756","Ninth grade","Could try a little harder","About the right amount","B"
"757","Sixth grade","Trying best to do well in school","Too little homework","A"
"758","Sixth grade","Could try a little harder","Too little homework","A"
"759","Twelfth grade","Trying best to do well in school","About the right amount","A"
"760","Sixth grade","Trying best to do well in school","About the right amount","B"
"761","Sixth grade","Could try a little harder","About the right amount","C"
"762","Ninth grade","Could try a little harder","About the right amount","B"
"763","Ninth grade","Trying best to do well in school","About the right amount","A"
"764","Twelfth grade","Could try a little harder","Too much homework","C"
"765","Eleventh grade","Could try a little harder","Too much homework","B"
"766","Seventh grade","Could try a little harder","About the right amount","A"
"767","Sixth grade","Trying best to do well in school","About the right amount","A"
"768","Eleventh grade","Could try a little harder","About the right amount","B"
"769","Ninth grade","Could try a little harder","Too much homework","A"
"770","Seventh grade","Could try a little harder","About the right amount","A"
"771","Twelfth grade","Trying best to do well in school","About the right amount","A"
"772","Eleventh grade","Could try a little harder","About the right amount","B"
"773","Sixth grade","Trying best to do well in school","About the right amount","A"
"774","Tenth grade","Could try a little harder","Too little homework","A"
"775","Twelfth grade","Could try a little harder","About the right amount","C"
"776","Eleventh grade","Could try a little harder","Too much homework","B"
"777","Sixth grade","Trying best to do well in school","About the right amount","A"
"778","Eleventh grade","Could try a little harder","About the right amount","C"
"779","Twelfth grade","Could try a little harder","About the right amount","B"
"780","Sixth grade","Trying best to do well in school","About the right amount","B"
"781","Twelfth grade","Could try a little harder","About the right amount","A"
"782","Seventh grade","Trying best to do well in school","About the right amount","A"
"783","Eighth grade","Trying best to do well in school","About the right amount","B"
"784","Eighth grade","Trying best to do well in school","Too little homework","B"
"785","Sixth grade","Trying best to do well in school","About the right amount","A"
"786","Twelfth grade","Trying best to do well in school","About the right amount","B"
"787","Tenth grade","Could try a little harder","About the right amount","C"
"788","Seventh grade","Could try a little harder","About the right amount","B"
"789","Ninth grade","Could try a little harder","Too much homework","C"
"790","Twelfth grade","Trying best to do well in school","Too little homework","C"
"791","Sixth grade","Could try a little harder","Too little homework","A"
"792","Seventh grade","Could try a little harder","About the right amount","Less than a C"
"793","Ninth grade","Could try a little harder","Too much homework","B"
"794","Eighth grade","Trying best to do well in school","Too much homework","A"
"795","Ninth grade","Trying best to do well in school","About the right amount","B"
"796","Tenth grade","Could try a little harder","About the right amount","B"
"797","Seventh grade","Trying best to do well in school","About the right amount","A"
"798","Eighth grade","Could try a little harder","About the right amount","B"
"799","Tenth grade","Trying best to do well in school","Too much homework","A"
"800","Eighth grade","Could try a little harder","About the right amount","A"
"801","Sixth grade","Could try a little harder","About the right amount","A"
"802","Ninth grade","Trying best to do well in school","About the right amount","A"
"803","Twelfth grade","Trying best to do well in school","Too much homework","A"
"804","Tenth grade","Trying best to do well in school","About the right amount","B"
"805","Eighth grade","Could try a little harder","About the right amount","B"
"806","Eleventh grade","Could try a little harder","Too little homework","C"
"807","Eighth grade","Could try a little harder","About the right amount","B"
"808","Eleventh grade","Trying best to do well in school","About the right amount","A"
"809","Seventh grade","Trying best to do well in school","Too much homework","B"
"810","Twelfth grade","Could try a little harder","About the right amount","B"
"811","Seventh grade","Trying best to do well in school","About the right amount","C"
"812","Tenth grade","Trying best to do well in school","About the right amount","C"
"813","Eighth grade","Could try a little harder","About the right amount","C"
"814","Seventh grade","Trying best to do well in school","About the right amount","B"
"815","Twelfth grade","Trying best to do well in school","About the right amount","A"
"816","Eleventh grade","Could try a little harder","About the right amount","A"
"817","Tenth grade","Trying best to do well in school","About the right amount","B"
"818","Tenth grade","Trying best to do well in school","About the right amount","A"
"819","Eighth grade","Could try a little harder","Too much homework","C"
"820","Ninth grade","Trying best to do well in school","About the right amount","A"
"821","Eighth grade","Could try a little harder","About the right amount","B"
"822","Eleventh grade","Could try a little harder","Too little homework","A"
"823","Ninth grade","Trying best to do well in school","About the right amount","C"
"824","Tenth grade","Trying best to do well in school","About the right amount","A"
"825","Eighth grade","Trying best to do well in school","About the right amount","B"
"826","Twelfth grade","Trying best to do well in school","Too little homework","B"
"827","Sixth grade","Could try a little harder","About the right amount","B"
"828","Eleventh grade","Trying best to do well in school","About the right amount","A"
"829","Seventh grade","Trying best to do well in school","Too little homework","A"
"830","Ninth grade","Could try a little harder","About the right amount","B"
"831","Sixth grade","Could try a little harder","Too little homework","B"
"832","Tenth grade","Trying best to do well in school","About the right amount","A"
"833","Eleventh grade","Could try a little harder","About the right amount","B"
"834","Ninth grade","Trying best to do well in school","Too little homework","A"
"835","Sixth grade","Trying best to do well in school","About the right amount","A"
"836","Tenth grade","Trying best to do well in school","About the right amount","C"
"837","Tenth grade","Trying best to do well in school","About the right amount","A"
"838","Eighth grade","Could try a little harder","About the right amount","Less than a C"
"839","Twelfth grade","Could try a little harder","Too little homework","A"
"840","Seventh grade","Could try a little harder","About the right amount","B"
"841","Eighth grade","Trying best to do well in school","About the right amount","Less than a C"
"842","Eleventh grade","Trying best to do well in school","Too much homework","A"
"843","Eighth grade","Trying best to do well in school","Too much homework","A"
"844","Seventh grade","Could try a little harder","About the right amount","Less than a C"
"845","Ninth grade","Trying best to do well in school","About the right amount","B"
"846","Twelfth grade","Trying best to do well in school","About the right amount","B"
"847","Seventh grade","Could try a little harder","Too much homework","B"
"848","Ninth grade","Could try a little harder","Too much homework","A"
"849","Ninth grade","Trying best to do well in school","About the right amount","A"
"850","Sixth grade","Could try a little harder","About the right amount","B"
"851","Twelfth grade","Could try a little harder","About the right amount","C"
"852","Twelfth grade","Could try a little harder","About the right amount","B"
"853","Sixth grade","Trying best to do well in school","About the right amount","B"
"854","Twelfth grade","Could try a little harder","About the right amount","C"
"855","Sixth grade","Could try a little harder","About the right amount","C"
"856","Sixth grade","Trying best to do well in school","Too much homework","A"
"857","Eighth grade","Could try a little harder","About the right amount","C"
"858","Ninth grade","Trying best to do well in school","About the right amount","B"
"859","Ninth grade","Trying best to do well in school","Too much homework","B"
"860","Tenth grade","Could try a little harder","About the right amount","B"
"861","Eleventh grade","Trying best to do well in school","About the right amount","B"
"862","Eleventh grade","Could try a little harder","Too much homework","C"
"863","Ninth grade","Trying best to do well in school","About the right amount","A"
"864","Eighth grade","Could try a little harder","Too much homework","B"
"865","Twelfth grade","Trying best to do well in school","About the right amount","A"
"866","Sixth grade","Trying best to do well in school","About the right amount","C"
"867","Twelfth grade","Could try a little harder","About the right amount","B"
"868","Twelfth grade","Could try a little harder","About the right amount","C"
"869","Ninth grade","Trying best to do well in school","About the right amount","B"
"870","Sixth grade","Trying best to do well in school","About the right amount","A"
"871","Eleventh grade","Could try a little harder","About the right amount","B"
"872","Sixth grade","Could try a little harder","About the right amount","B"
"873","Eleventh grade","Trying best to do well in school","Too much homework","A"
"874","Sixth grade","Trying best to do well in school","Too little homework","B"
"875","Ninth grade","Could try a little harder","About the right amount","C"
"876","Twelfth grade","Trying best to do well in school","About the right amount","A"
"877","Tenth grade","Trying best to do well in school","Too much homework","A"
"878","Eleventh grade","Could try a little harder","Too much homework","Less than a C"
"879","Twelfth grade","Trying best to do well in school","About the right amount","A"
"880","Sixth grade","Could try a little harder","About the right amount","B"
"881","Eighth grade","Trying best to do well in school","Too much homework","C"
"882","Tenth grade","Trying best to do well in school","About the right amount","A"
"883","Ninth grade","Trying best to do well in school","About the right amount","C"
"884","Tenth grade","Trying best to do well in school","About the right amount","B"
"885","Eleventh grade","Could try a little harder","About the right amount","B"
"886","Tenth grade","Trying best to do well in school","About the right amount","A"
"887","Tenth grade","Could try a little harder","About the right amount","C"
"888","Eleventh grade","Trying best to do well in school","Too much homework","B"
"889","Seventh grade","Could try a little harder","Too little homework","C"
"890","Twelfth grade","Could try a little harder","Too little homework","B"
"891","Seventh grade","Could try a little harder","Too much homework","B"
"892","Ninth grade","Could try a little harder","Too much homework","B"
"893","Eighth grade","Trying best to do well in school","About the right amount","Less than a C"
"894","Seventh grade","Trying best to do well in school","Too much homework","B"
"895","Twelfth grade","Could try a little harder","Too much homework","B"
"896","Tenth grade","Trying best to do well in school","About the right amount","B"
"897","Seventh grade","Could try a little harder","About the right amount","B"
"898","Sixth grade","Trying best to do well in school","About the right amount","A"
"899","Seventh grade","Trying best to do well in school","About the right amount","A"
"900","Eighth grade","Trying best to do well in school","Too much homework","B"
"901","Eighth grade","Could try a little harder","About the right amount","B"
"902","Tenth grade","Could try a little harder","Too much homework","B"
"903","Eleventh grade","Could try a little harder","About the right amount","B"
"904","Tenth grade","Trying best to do well in school","About the right amount","A"
"905","Tenth grade","Could try a little harder","About the right amount","B"
"906","Tenth grade","Trying best to do well in school","About the right amount","A"
"907","Twelfth grade","Could try a little harder","About the right amount","B"
"908","Twelfth grade","Could try a little harder","Too much homework","B"
"909","Ninth grade","Could try a little harder","Too much homework","B"
"910","Eleventh grade","Trying best to do well in school","About the right amount","C"
"911","Eighth grade","Trying best to do well in school","About the right amount","A"
"912","Tenth grade","Could try a little harder","About the right amount","C"
"913","Twelfth grade","Trying best to do well in school","About the right amount","A"
"914","Seventh grade","Trying best to do well in school","Too much homework","A"
"915","Eleventh grade","Trying best to do well in school","About the right amount","B"
"916","Tenth grade","Trying best to do well in school","About the right amount","A"
"917","Sixth grade","Trying best to do well in school","Too much homework","B"
"918","Sixth grade","Trying best to do well in school","About the right amount","A"
"919","Sixth grade","Trying best to do well in school","About the right amount","B"
"920","Sixth grade","Trying best to do well in school","About the right amount","A"
"921","Eighth grade","Trying best to do well in school","Too little homework","B"
"922","Ninth grade","Trying best to do well in school","Too little homework","B"
"923","Seventh grade","Trying best to do well in school","Too much homework","A"
"924","Sixth grade","Trying best to do well in school","About the right amount","C"
"925","Twelfth grade","Trying best to do well in school","Too much homework","A"
"926","Twelfth grade","Could try a little harder","Too much homework","B"
"927","Eleventh grade","Trying best to do well in school","About the right amount","B"
"928","Twelfth grade","Trying best to do well in school","About the right amount","B"
"929","Tenth grade","Could try a little harder","About the right amount","C"
"930","Tenth grade","Could try a little harder","About the right amount","C"
"931","Twelfth grade","Trying best to do well in school","About the right amount","A"
"932","Ninth grade","Could try a little harder","Too little homework","A"
"933","Eighth grade","Trying best to do well in school","About the right amount","A"
"934","Eleventh grade","Trying best to do well in school","About the right amount","B"
"935","Eighth grade","Could try a little harder","About the right amount","B"
"936","Eighth grade","Trying best to do well in school","About the right amount","B"
"937","Ninth grade","Could try a little harder","Too much homework","B"
"938","Twelfth grade","Trying best to do well in school","About the right amount","C"
"939","Eighth grade","Could try a little harder","About the right amount","A"
"940","Sixth grade","Could try a little harder","About the right amount","A"
"941","Eighth grade","Trying best to do well in school","Too much homework","B"
"942","Tenth grade","Trying best to do well in school","About the right amount","C"
"943","Sixth grade","Could try a little harder","Too much homework","C"
"944","Eleventh grade","Trying best to do well in school","About the right amount","B"
"945","Sixth grade","Could try a little harder","About the right amount","C"
"946","Sixth grade","Trying best to do well in school","Too much homework","C"
"947","Ninth grade","Could try a little harder","About the right amount","C"
"948","Ninth grade","Could try a little harder","About the right amount","B"
"949","Ninth grade","Could try a little harder","Too much homework","B"
"950","Seventh grade","Could try a little harder","Too little homework","A"
"951","Sixth grade","Could try a little harder","About the right amount","C"
"952","Eighth grade","Could try a little harder","About the right amount","C"
"953","Twelfth grade","Could try a little harder","Too much homework","B"
"954","Eighth grade","Could try a little harder","Too much homework","C"
"955","Ninth grade","Trying best to do well in school","Too much homework","C"
"956","Eleventh grade","Could try a little harder","About the right amount","B"
"957","Eleventh grade","Trying best to do well in school","About the right amount","A"
"958","Eighth grade","Trying best to do well in school","About the right amount","B"
"959","Eighth grade","Trying best to do well in school","About the right amount","A"
"960","Tenth grade","Trying best to do well in school","About the right amount","A"
"961","Eleventh grade","Trying best to do well in school","About the right amount","A"
"962","Tenth grade","Could try a little harder","About the right amount","B"
"963","Seventh grade","Could try a little harder","About the right amount","Less than a C"
"964","Ninth grade","Could try a little harder","About the right amount","B"
"965","Eighth grade","Trying best to do well in school","About the right amount","A"
"966","Eleventh grade","Could try a little harder","About the right amount","B"
"967","Seventh grade","Could try a little harder","About the right amount","B"
"968","Sixth grade","Could try a little harder","About the right amount","A"
"969","Ninth grade","Could try a little harder","About the right amount","C"
"970","Tenth grade","Could try a little harder","Too much homework","A"
"971","Tenth grade","Trying best to do well in school","About the right amount","B"
"972","Seventh grade","Could try a little harder","Too much homework","A"
"973","Tenth grade","Trying best to do well in school","Too much homework","B"
"974","Sixth grade","Trying best to do well in school","About the right amount","A"
"975","Sixth grade","Trying best to do well in school","Too little homework","B"
"976","Twelfth grade","Could try a little harder","About the right amount","C"
"977","Sixth grade","Could try a little harder","About the right amount","A"
"978","Eleventh grade","Trying best to do well in school","About the right amount","B"
"979","Sixth grade","Trying best to do well in school","About the right amount","A"
"980","Tenth grade","Trying best to do well in school","About the right amount","A"
"981","Eighth grade","Trying best to do well in school","About the right amount","A"
"982","Twelfth grade","Trying best to do well in school","About the right amount","A"
